DocId;Organization
imh-43-142;Agricultural Industrial Bank
imh-43-3;Allman and Company
imh-43-189;Alpha Kappa Kappa
imh-43-74;American Bar Association
imh-43-80;American Bar Association
imh-43-97;American Bar Association
imh-43-74;American Bar Association of China
imh-43-119;American Boy Scouts
imh-43-188;American Chamber of Commerce
imh-43-206;American Chamber of Commerce
imh-43-76;American Chamber of Commerce
imh-43-205;American Church Mission
imh-43-258;American Church Mission
imh-43-10;American Club
imh-43-119;American Club
imh-43-124;American Club
imh-43-171;American Club
imh-43-188;American Club
imh-43-189;American Club
imh-43-206;American Club
imh-43-268;American Club
imh-43-3;American Club
imh-43-74;American Club
imh-43-80;American Club
imh-43-97;American Club
imh-43-190;American College of Surgeons
imh-43-148;American Concrete Institute
imh-43-279;American Dental Association
imh-43-124;American Expeditionary Forces
imh-43-188;American Institute of Architects
imh-43-190;American Medical Association
imh-43-124;American Oriental Bank
imh-43-124;American Oriental Banking Corporation
imh-43-124;American Oriental Finance Corporation
imh-43-148;American Railway Engineering Association
imh-43-205;American Red Cross Society
imh-43-292;American Returned Students' Association
imh-43-309;American Returned Students' Association
imh-43-314;American Returned Students' Association
imh-43-61;American Returned Students' Association
imh-43-148;American Society for Testing Materials
imh-43-148;American Society of Civil Engineers
imh-43-3;American Troop Shanghai Volunteer Corps
imh-43-80;American Troop Shanghai Volunteer Corps
imh-43-97;American Troop Shanghai Volunteer Corps
imh-43-111;American University Club
imh-43-124;American University Club
imh-43-142;American University Club
imh-43-148;American University Club
imh-43-171;American University Club
imh-43-188;American University Club
imh-43-190;American University Club
imh-43-205;American University Club
imh-43-238;American University Club
imh-43-279;American University Club
imh-43-292;American University Club
imh-43-297;American University Club
imh-43-314;American University Club
imh-43-61;American University Club
imh-43-74;American University Club
imh-43-76;American University Club
imh-43-206;Andersen Meyer & Co. Ltd
imh-43-268;Andersen Meyer & Co. Ltd
imh-43-188;Army Y.M.C.A.
imh-43-124;Asia Electric Co. Federal Inc
imh-43-206;Asia Realty Co
imh-43-258;Asia Realty Co
imh-43-148;Association of Chinese and American Engineers
imh-43-279;Awakening Lion 
imh-43-309;Bankers Trust Company
imh-43-292;Battle Creek College
imh-43-268;Blumenthal Velvet Mill
imh-43-279;Board of Dental Examiners
imh-43-171;Board of Health of Indianapolis
imh-43-238;Boone College
imh-43-74;Bowdoin College
imh-43-190;Boylston Medical Society
imh-43-10;British-American Tobacco Co
imh-43-171;Butler University
imh-43-268;Butterfield & Swire
imh-43-292;Butterfield & Swire
imh-43-142;Cantonese Baptist Church
imh-43-254;Cantonese Club
imh-43-268;Cantonese Club
imh-43-142;Cantonese Guild
imh-43-268;Cantonese Guild
imh-43-292;Cantonese Guild
imh-43-142;Capitol Theater
imh-43-224;Central Bank of China
imh-43-51;Central Bank of China
imh-43-300;Central China College
imh-43-268;Central Government Mint
imh-43-142;Central University Business College
imh-43-188;Cercle Sportif Francais
imh-43-206;Cercle Sportif Francais
imh-43-74;Cercle Sportif Francais
imh-43-80;Cercle Sportif Francais
imh-43-142;Changchow Hospital
imh-43-238;Chas. H. Couch & Son
imh-43-51;Chekiang Industrial Bank Ltd
imh-43-238;Chen-Moon Primary School
imh-43-300;Cheng Chi Hui
imh-43-258;Cheshire Military Academy
imh-43-268;Chester Manufacturing Co
imh-43-270;Chiao-Tung Club
imh-43-148;Chiao-Tung University
imh-43-279;Chicago Dental Society
imh-43-61;Chicago World Exposition
imh-43-238;China & South Seas Bank Ltd
imh-43-297;China Development Finance Corporation
imh-43-97;China Finance Corporation
imh-43-188;China Institute in America
imh-43-314;China Inter-collegiate Athletic Association
imh-43-51;China International Famine Relief Commission
imh-43-254;China Medical Association
imh-43-300;China Medical Association
imh-43-314;China National Amateur Athletic Federation
imh-43-76;China National Child Welfare Association
imh-43-190;Chinese Army
imh-43-51;Chinese Bankers' Institute
imh-43-238;Chinese Economic Society
imh-43-270;Chinese Engineering Association
imh-43-76;Chinese Foreign Famine Relief Committee
imh-43-76;Chinese Government (Qing)
imh-43-148;Chinese Institute of Engineers
imh-43-61;Chinese Institute of Engineers
imh-43-268;Chinese Jockey Club
imh-43-80;Chinese Jockey Club
imh-43-111;Chinese Medical Association
imh-43-190;Chinese Medical Association
imh-43-300;Chinese Mission to Lepers
imh-43-76;Chinese Mission to Lepers
imh-43-254;Chinese Mission to Lepers
imh-43-188;Chinese National Cultural and Economic Institute
imh-43-314;Chinese Recreation Club
imh-43-314;Chinese Referees' Association
imh-43-142;Chinese Y.M.C.A
imh-43-238;Chinese Y.M.C.A. High School
imh-43-309;Chinese-American Bank of Commerce
imh-43-300;Ching Chong Memorial Hospital
imh-43-205;Christian Educational Association of China
imh-43-300;Christian Educational Association of China
imh-43-71;Chung San National Memorial Park
imh-43-254;Church of Our Saviour
imh-43-188;College of New Rochelle
imh-43-10;Columbia Country Club
imh-43-119;Columbia Country Club
imh-43-124;Columbia Country Club
imh-43-171;Columbia Country Club
imh-43-188;Columbia Country Club
imh-43-189;Columbia Country Club
imh-43-206;Columbia Country Club
imh-43-3;Columbia Country Club
imh-43-74;Columbia Country Club
imh-43-80;Columbia Country Club
imh-43-97;Columbia Country Club
imh-43-258;Columbia Electric Vehicle Co
imh-43-142;Columbia University
imh-43-154;Columbia University
imh-43-171;Columbia University
imh-43-205;Columbia University
imh-43-224;Columbia University
imh-43-51;Columbia University
imh-43-61;Columbia University
imh-43-297;Comparative Law School
imh-43-238;Continental Bank
imh-43-238;Continental Bank and Trust Co
imh-43-148;Cornell Association of Civil Engineers
imh-43-148;Cornell University
imh-43-279;Cosmopolitan Club
imh-43-270;Customs College
imh-43-297;Dah Hsia University
imh-43-71;Day & Klauder
imh-43-142;De Witt Clinton High School
imh-43-189;Delta Kappa Epsilon
imh-43-97;Delta Tau Delta 
imh-43-154;Denison University
imh-43-119;E Club (Washington)
imh-43-142;Edward Shank Architects
imh-43-119;Emerson Institute
imh-43-188;Episcopal Board of Missions
imh-43-292;Eta Chi Sigma 
imh-43-297;Far Eastern Conference (Chicago)
imh-43-74;Fessenden & Holcomb
imh-43-80;First Judicial Circuit of Hawaii
imh-43-238;First National Bank
imh-43-148;First National Hydraulic Laboratory
imh-43-3;Fleming Franklin & Allman
imh-43-97;Fleming Franklin & Allman
imh-43-190;Flip Flap 
imh-43-300;Flip Flap 
imh-43-314;Flip Flap 
imh-43-142;Foreign Y.M.C.A
imh-43-76;Foreign Y.M.C.A
imh-43-80;Franklin & Harrington
imh-43-97;Franklin & Harrington
imh-43-80;Franklin Academy
imh-43-188;Fukien University
imh-43-297;Futan University
imh-43-205;General Theological Seminary
imh-43-119;George Washington University
imh-43-188;Ginling College
imh-43-314;Ginling College
imh-43-148;Great Northern Port Development Commission
imh-43-171;Gymnasium (Berlin)
imh-43-148;Hai Ho Improvement Commission
imh-43-224;Han Yeh Ping Coal & Iron Works
imh-43-268;Hankow Chinese Race Club
imh-43-268;Hankow International Recreation Club
imh-43-238;Harvard Alumni Review
imh-43-190;Harvard Club of Shanghai
imh-43-238;Harvard Club of Shanghai
imh-43-190;Harvard University
imh-43-224;Harvard University
imh-43-238;Harvard University
imh-43-270;Harvard University
imh-43-300;Harvard University
imh-43-97;Harvard University
imh-43-238;Higher Polytechnic School (Tientsin)
imh-43-148;Hopei Association of Engineers
imh-43-148;Hopei Fourth Middle School
imh-43-148;Hopei Provincial Irrigation and Reclamation Commission
imh-43-188;Hopkins Grammar School
imh-43-148;Hu Tou Ho Irrigation Development Commission
imh-43-142;Huchow Hospital
imh-43-300;Hunan Yale Medical College
imh-43-74;Hungjao Golf
imh-43-270;Husi Country Club
imh-43-309;Husi Country Club
imh-43-76;Hwai Valley Conservancy Board
imh-43-148;Hydraulic Engineering Society of China
imh-43-148;Hydraulic Research Council
imh-43-279;Illini Club
imh-43-279;Illinois State Dental Society
imh-43-188;Indian Harbor Yacht
imh-43-171;Indiana University
imh-43-171;Indianapolis City Hospital
imh-43-142;Institute for Chinese Blind
imh-43-76;Institute for Chinese Blind
imh-43-154;Institute of Pacific Relations
imh-43-148;International Association for Testing Materials
imh-43-74;International Bar Association of Shanghai
imh-43-292;International Club
imh-43-279;International College of Dentists
imh-43-279;International Dental Congress
imh-43-300;International Health Board
imh-43-3;International Mixed Court
imh-43-189;International Recreation Club
imh-43-268;International Recreation Club
imh-43-3;International Recreation Club
imh-43-80;International Recreation Club
imh-43-97;International Recreation Club
imh-43-224;International Trading Corporation
imh-43-142;J. F. Jackson
imh-43-297;Joint Reserve Board
imh-43-51;Joint Reserve Board
imh-43-238;Joint Savings Society
imh-43-254;Journal of National Medical Association
imh-43-61;Journal of the Chinese Institute of Engineers
imh-43-238;Kiang-Feng Bank of Agriculture and Labor
imh-43-300;Kiangwan Public Health Board
imh-43-238;Kincheng Banking Corporation
imh-43-314;Kincheng Banking Corporation
imh-43-268;Knox Hat Factory
imh-43-142;Kwangtung Club
imh-43-71;Kwangtung Provincial Government
imh-43-300;League of Nations
imh-43-171;Lenox Hill Hospital
imh-43-279;Lewis Institute
imh-43-188;Lingnan University
imh-43-188;Loomis Institute
imh-43-142;Ludlow & Peabody
imh-43-206;Manila Government
imh-43-142;Mary Farnham Girls School
imh-43-111;Masonic Order
imh-43-119;Masonic Order
imh-43-124;Masonic Order
imh-43-142;Masonic Order
imh-43-171;Masonic Order
imh-43-190;Masonic Order
imh-43-206;Masonic Order
imh-43-279;Masonic Order
imh-43-314;Masonic Order
imh-43-71;Masonic Order
imh-43-76;Masonic Order
imh-43-270;Masonic Order
imh-43-142;Massachusetts Institute of Technology
imh-43-190;Massachusetts Medical Society
imh-43-188;Mayesville Institute
imh-43-188;McGill and Hamlin
imh-43-254;McTyeire School
imh-43-190;Medhurst College
imh-43-111;Medical Practitioners' Association of Shanghai
imh-43-119;Messrs. L. Everett Incorporated Shipping and Insurance
imh-43-188;Metropolitan Museum of Art
imh-43-292;Michigan Club
imh-43-238;Midland Bank Ltd
imh-43-270;Ministry of Communications
imh-43-300;Ministry of Education
imh-43-268;Ministry of Finance
imh-43-270;Ministry of Finance
imh-43-297;Ministry of Finance
imh-43-142;Ministry of Industry
imh-43-297;Ministry of Industry and Commerce
imh-43-71;Ministry of Railways
imh-43-148;Ministry of the Interior
imh-43-300;Ministry of the Interior
imh-43-10;Missouri State University
imh-43-238;Municipal Review
imh-43-142;Municipality of Greater Shanghai
imh-43-300;Municipality of Greater Shanghai
imh-43-61;Municipality of Greater Shanghai
imh-43-188;Murphy & Dana
imh-43-142;Murphy McGill & Hamlin
imh-43-188;Murphy McGill & Hamlin
imh-43-71;Nanking City Planning Bureau
imh-43-61;Nanking-Shanghai Railways
imh-43-142;Nantao Christian Institute
imh-43-268;Nanyang Bros. Tobacco Co
imh-43-148;National Academy of Peiping
imh-43-314;National Car Company
imh-43-300;National Central Medical College
imh-43-188;National City Bank
imh-43-309;National City Company
imh-43-148;National Construction Commission
imh-43-154;National Educational Conference
imh-43-154;National Emergency Conference
imh-43-119;National Geographic Society
imh-43-71;National Good Roads Association of China
imh-43-51;National Government (Beiyang)
imh-43-224;National Government (Canton)
imh-43-297;National Government (Nanking)
imh-43-188;National Government (Nanking)
imh-43-190;National Government (Nanking)
imh-43-224;National Government (Nanking)
imh-43-268;National Government (Nanking)
imh-43-270;National Government (Nanking)
imh-43-300;National Health Administration
imh-43-119;National Law School (Washington)
imh-43-190;National Medical Association of China
imh-43-254;National Medical Association of China
imh-43-300;National Medical Association of China
imh-43-300;National Medical College of Shanghai
imh-43-314;National Transport Company
imh-43-154;National Vocational Education Association
imh-43-142;National Y.W.C.A
imh-43-142;Navy Y.M.C.A
imh-43-188;Navy Y.M.C.A
imh-43-76;Navy Y.M.C.A
imh-43-51;New York University
imh-43-148;North River Commission
imh-43-188;Oberlin-in-China
imh-43-124;Occidental College
imh-43-111;Orthopedic Hospital of Shanghai
imh-43-190;Orthopedic Hospital of Shanghai
imh-43-124;Pacific Banking Corporation
imh-43-124;Pacific Southwest Trust & Savings Bank
imh-43-119;Pan-Pacific Association
imh-43-76;Pan-Pacific Association
imh-43-268;Paper Hunt Club
imh-43-80;Paper Hunt Club
imh-43-148;Peiyang University
imh-43-148;Peiyang University Alumni Association
imh-43-3;Peking Club
imh-43-190;Peking Union Medical College
imh-43-300;Peking Union Medical College
imh-43-270;Peking University
imh-43-80;Phi Delta Theta
imh-43-148;Phi Kappa Phi
imh-43-268;Phi Psi
imh-43-148;Phi Tau Phi
imh-43-268;Philadelphia Textile Academy
imh-43-188;Pine Orchard Yacht
imh-43-300;Pingsiang Colliery
imh-43-206;Pittsburgh Central High School
imh-43-142;Pratt Institute
imh-43-124;Realty Investment Company
imh-43-188;Realty Investment Company
imh-43-111;Red Cross General Hospital
imh-43-254;Red Cross General Hospital
imh-43-300;Red Cross Society of China
imh-43-254;Returned Students' Club
imh-43-188;Revolutionists' Memorial (Nanking)
imh-43-148;Rho Psi
imh-43-188;Robert Dollar Company
imh-43-300;Rockefeller Foundation
imh-43-171;Roosevelt Hospital
imh-43-111;Rotary Club
imh-43-154;Rotary Club
imh-43-258;Rotary Club
imh-43-268;Rotary Club
imh-43-279;Rotary Club
imh-43-3;Rotary Club
imh-43-300;Rotary Club
imh-43-314;Rotary Club
imh-43-51;Rotary Club
imh-43-71;Rotary Club
imh-43-74;Rotary Club
imh-43-76;Rotary Club
imh-43-80;Royal Air Force Association
imh-43-205;Royal Asiatic Society
imh-43-76;Royal Asiatic Society
imh-43-76;Royal Geographical Society
imh-43-51;Russo-Asiatic Bank
imh-43-97;S. D. Lee High School
imh-43-148;Science Society of China
imh-43-148;Scientific Movement Association of China
imh-43-238;Second National Bank (Elmira, NY)
imh-43-80;Shanghai American Bar Association
imh-43-188;Shanghai American School
imh-43-258;Shanghai American School
imh-43-297;Shanghai Bankers' Association
imh-43-51;Shanghai Bankers' Association
imh-43-254;Shanghai Bankers' Club
imh-43-268;Shanghai Bankers' Club
imh-43-292;Shanghai Bankers' Club
imh-43-297;Shanghai Bankers' Club
imh-43-309;Shanghai Bankers' Club
imh-43-314;Shanghai Bankers' Club
imh-43-61;Shanghai Bankers' Club
imh-43-314;Shanghai Bankers' Institute
imh-43-300;Shanghai Citizens' Association
imh-43-171;Shanghai Club
imh-43-206;Shanghai Club
imh-43-3;Shanghai Club
imh-43-80;Shanghai Club
imh-43-97;Shanghai Club
imh-43-314;Shanghai College
imh-43-314;Shanghai College Alumni Association
imh-43-74;Shanghai Country
imh-43-74;Shanghai Cricket Club
imh-43-279;Shanghai Dental College
imh-43-279;Shanghai Dental Society
imh-43-171;Shanghai Golf Club
imh-43-205;Shanghai Golf Club
imh-43-206;Shanghai Golf Club
imh-43-270;Shanghai Golf Club
imh-43-119;Shanghai Hunt Club
imh-43-111;Shanghai Medical Society
imh-43-190;Shanghai Medical Society
imh-43-300;Shanghai Municipal Council
imh-43-74;Shanghai Municipal Council
imh-43-80;Shanghai Municipal Council
imh-43-119;Shanghai Polo Club
imh-43-124;Shanghai Polo Club
imh-43-3;Shanghai Polo Club
imh-43-80;Shanghai Polo Club
imh-43-10;Shanghai Race Club
imh-43-206;Shanghai Race Club
imh-43-3;Shanghai Race Club
imh-43-74;Shanghai Race Club
imh-43-80;Shanghai Race Club
imh-43-97;Shanghai Race Club
imh-43-97;Shanghai Rowing Club
imh-43-206;Shanghai Special Police
imh-43-76;Shanghai Tiffin Club
imh-43-206;Shanghai Volunteer Corps
imh-43-292;Shantung Silk and Lace Company
imh-43-148;Sigma Xi
imh-43-300;Sigma Xi
imh-43-258;Sigourney Tool Co
imh-43-314;Sin-Hua Trust & Savings Bank
imh-43-238;Sing-Hung Bank
imh-43-171;Sloane Maternity Hospital
imh-43-142;Society of Chinese Architects
imh-43-292;Society of Chinese Architects
imh-43-61;Society of Chinese Architects
imh-43-71;Society of Chinese Architects
imh-43-61;Soldiers' Memorial Cemetery Group
imh-43-154;Soochow University
imh-43-190;St. John's Alumni Association
imh-43-254;St. John's Alumni Association
imh-43-292;St. John's Alumni Association
imh-43-254;St. John's Club
imh-43-111;St. John's University
imh-43-189;St. John's University
imh-43-190;St. John's University
imh-43-205;St. John's University
imh-43-224;St. John's University
imh-43-254;St. John's University
imh-43-258;St. John's University
imh-43-268;St. John's University
imh-43-292;St. John's University
imh-43-300;St. John's University
imh-43-309;St. John's University
imh-43-71;St. John's University
imh-43-309;St. John's University Club
imh-43-111;St. Luke's Hospital
imh-43-254;St. Luke's Hospital
imh-43-258;St. Luke's Hospital
imh-43-188;St. Paul's College
imh-43-268;Stamp Tax Bureau
imh-43-258;Stevens High School
imh-43-258;Stevens Institute of Technology
imh-43-292;Su Yang and Lei Architects
imh-43-309;Swan Culbertson & Fritz
imh-43-314;Tai Ping Insurance Company
imh-43-148;Takung Pao
imh-43-148;Tangshan Engineering College
imh-43-3;Tientsin Club
imh-43-119;Tientsin Race Club
imh-43-171;Trier Evacuation Hospitals
imh-43-205;Trinity College
imh-43-205;Trinity School
imh-43-238;Tsing Hua Alumni Club
imh-43-297;Tsing Hua Alumni Club
imh-43-270;Tsing Hua Club
imh-43-148;Tsing Hua College
imh-43-238;Tsing Hua College
imh-43-270;Tsing Hua College
imh-43-297;Tsing Hua College
imh-43-61;Tsing Hua College
imh-43-76;Union Theological Seminary
imh-43-238;United China Syndicate
imh-43-10;United States Army
imh-43-142;United States Army
imh-43-171;United States Army
imh-43-80;United States Army
imh-43-10;United States Court for China
imh-43-268;United States Government
imh-43-3;United States Government
imh-43-119;United States Senate
imh-43-119;United States Shipping Board
imh-43-10;University Club (Manila)
imh-43-10;University Club (Mexico)
imh-43-154;University of Chicago
imh-43-297;University of Chicago
imh-43-205;University of Edinburgh
imh-43-279;University of Illinois
imh-43-300;University of Liverpool
imh-43-292;University of Michigan
imh-43-314;University of Michigan
imh-43-314;University of Michigan Club
imh-43-61;University of Minnesota
imh-43-80;University of Mississippi
imh-43-111;University of Pennsylvania
imh-43-254;University of Pennsylvania
imh-43-268;University of Pennsylvania
imh-43-71;University of Pennsylvania
imh-43-206;University of Pittsburgh
imh-43-154;University of Shanghai
imh-43-314;University of Shanghai
imh-43-51;University of Shanghai
imh-43-142;University of the State of New York
imh-43-3;University of Virginia
imh-43-238;University of Wisconsin
imh-43-76;University of Wooster
imh-43-279;Valparaiso University
imh-43-268;Van Wan Doo Club
imh-43-309;Van Wan Doo Club
imh-43-189;Vanderbilt University
imh-43-279;Victoria High School
imh-43-148;Waddell and Hardesty
imh-43-97;Washington & Lee University
imh-43-10;Washington University
imh-43-119;Wendell Jones & Jones
imh-43-206;Western University of Pennsylvania
imh-43-189;Women's Christian Medical College
imh-43-190;Women's Christian Medical College
imh-43-76;Wooster College
imh-43-142;Wuhan University
imh-43-76;Y.M.C.A.
imh-43-154;Y.M.C.A.
imh-43-142;Y.M.C.A.
imh-43-254;Y.M.C.A.
imh-43-297;Y's Men's Club
imh-43-314;Y's Men's Club
imh-43-61;Y's Men's Club
imh-43-71;Y's Men's Club
imh-43-188;Yale Club of New York
imh-43-188;Yale Club of Shanghai
imh-43-297;Yale Club of Shanghai
imh-43-188;Yale Foreign Missionary Society
imh-43-188;Yale University
imh-43-297;Yale University
imh-43-300;Yale University
imh-43-188;Yale-in-China
imh-43-188;Yenching University
imh-43-238;Yienyieh Bank
imh-43-238;Yung Hung Banking Corporation